Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 89,16,0,3,1,0,0,0,0,0,0,27,0,0,2021-09-13 18:30:00
Part 89,0,6,0,1,0,0,0,0,0,27,0,0,0,2021-09-14 17:30:00
Part 89,0,6,0,0,0,0,0,0,0,0,5,0,1,2021-09-15 16:33:00
Part 89,4,0,0,0,0,0,0,0,0,5,0,24,1,2021-09-16 17:06:00
Part 89,0,0,5,0,0,0,0,20,4,0,0,0,2,2021-09-17 06:32:00
Part 89,0,0,5,0,0,0,0,20,4,0,0,0,2,2021-09-18 07:13:00
Part 89,0,0,5,0,0,0,0,20,4,0,0,0,2,2021-09-19 06:30:00
Part 89,0,0,5,0,0,0,0,20,4,0,0,0,2,2021-09-20 06:29:00
Part 89,0,0,5,0,0,0,0,20,4,0,0,0,2,2021-09-21 06:31:00
Part 89,0,0,5,0,0,0,0,20,4,0,0,0,2,2021-09-22 06:33:00
Part 89,0,0,5,0,0,0,0,20,4,0,0,0,2,2021-09-23 06:35:00
Part 89,0,0,5,0,0,0,0,20,4,0,0,0,2,2021-09-24 06:33:00
Part 89,0,0,5,0,0,0,0,20,4,0,0,0,2,2021-09-25 15:38:00
Part 89,0,0,5,0,0,0,0,20,4,0,0,0,2,2021-09-26 06:28:00
Part 89,26,0,0,0,0,0,0,5,13,61,32,0,0,2021-09-27 12:58:00
Part 89,0,0,0,0,0,0,65,12,0,3,12,0,0,2021-09-28 18:00:00
Part 89,0,0,0,0,0,68,1,0,3,17,0,0,32,2021-09-29 11:58:00
Part 89,0,0,0,0,66,2,0,1,25,0,0,11,3,2021-09-30 17:34:00
Part 89,0,0,0,66,2,0,1,41,0,0,2,0,0,2021-10-01 07:08:00
Part 89,0,0,65,3,0,4,33,0,0,0,3,4,2,2021-10-02 08:35:00
Part 89,0,0,65,3,0,4,33,0,0,0,3,4,2,2021-10-03 07:03:00
Part 89,65,3,0,4,33,0,0,0,3,4,2,5,0,2021-10-04 16:30:00
Part 89,24,0,2,23,0,0,0,2,0,5,14,0,0,2021-10-05 10:29:00
Part 89,0,1,24,0,0,0,2,0,2,6,0,0,27,2021-10-06 18:34:00
Part 89,1,24,0,0,0,2,0,0,0,0,0,0,0,2021-10-07 17:32:00
Part 89,24,0,0,0,1,1,0,0,0,0,0,0,0,2021-10-08 15:05:00
Part 89,24,0,0,0,1,1,0,0,0,0,0,0,0,2021-10-09 07:05:00
Part 89,24,0,0,0,1,1,0,0,0,0,0,0,0,2021-10-10 06:29:00
Part 89,24,0,0,0,1,1,0,0,0,0,0,0,0,2021-10-11 06:28:00
Part 89,0,2,0,0,0,0,0,0,20,25,0,0,0,2021-10-12 11:34:00
Part 89,2,0,0,0,0,0,4,17,3,22,0,0,6,2021-10-13 12:38:00
Part 89,0,0,0,0,0,5,2,0,6,0,0,2,1,2021-10-14 16:30:00
Part 89,0,0,0,0,4,3,10,0,0,0,5,3,1,2021-10-15 15:34:00
Part 89,0,0,0,3,4,4,2,0,0,32,8,0,1,2021-10-16 07:42:00
Part 89,0,0,0,3,4,4,2,0,0,32,8,0,1,2021-10-17 06:36:00
Part 89,0,3,4,4,2,0,0,32,0,0,3,5,0,2021-10-18 16:38:00
Part 89,0,0,0,0,0,0,21,0,0,1,15,0,0,2021-10-19 15:57:00
Part 89,0,0,0,0,0,21,0,0,0,7,0,0,25,2021-10-20 16:01:00
Part 89,0,0,0,0,21,0,0,6,70,0,0,0,0,2021-10-21 15:01:00
Part 89,0,0,0,21,0,0,21,31,0,0,24,0,0,2021-10-22 16:03:00
Part 89,0,0,0,21,0,0,21,31,0,0,24,0,0,2021-10-23 07:08:00
Part 89,0,0,0,21,0,0,21,31,0,0,24,0,0,2021-10-24 06:33:00
Part 89,20,1,0,14,33,0,0,29,0,0,1,1,0,2021-10-25 17:29:00
Part 89,15,0,8,44,0,0,24,0,0,0,0,0,0,2021-10-26 06:33:00
Part 89,0,8,40,0,0,28,0,0,4,1,0,0,0,2021-10-27 06:39:00
Part 89,6,39,0,0,31,0,0,3,2,0,0,0,0,2021-10-28 16:26:00
Part 89,38,0,0,6,0,8,0,0,0,0,5,0,0,2021-10-29 15:38:00
Part 89,38,0,0,6,0,8,0,0,0,0,5,0,0,2021-10-30 07:04:00
Part 89,9,0,3,2,4,0,0,0,0,0,0,0,0,2021-11-01 07:03:00
