CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,0
2021-09-14,0
2021-09-15,0
2021-09-16,0
2021-09-17,0
2021-09-18,0
2021-09-19,0
2021-09-20,0
2021-09-21,0
2021-09-22,0
2021-09-23,0
2021-09-24,0
2021-09-25,0
2021-09-26,0
2021-09-27,0
2021-09-28,0
2021-09-29,0
2021-09-30,0
2021-10-01,0
2021-10-02,0
2021-10-03,0
2021-10-04,15
2021-10-05,12
2021-10-06,5
2021-10-07,3
2021-10-08,2
2021-10-09,2
2021-10-10,2
2021-10-11,2
2021-10-12,24
2021-10-13,27
2021-10-14,21
2021-10-15,21
2021-10-16,0
2021-10-20,19
2021-10-21,0
2021-10-22,8
2021-10-23,8
2021-10-24,8
2021-10-25,23
2021-10-26,16
2021-10-27,6
2021-10-28,10
2021-10-29,2
2021-10-30,2
2021-11-01,1
