CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,0
2021-09-14,0
2021-09-15,0
2021-09-16,0
2021-09-17,0
2021-09-18,0
2021-09-19,0
2021-09-20,0
2021-09-21,0
2021-09-22,0
2021-09-23,0
2021-09-24,0
2021-09-25,0
2021-09-26,0
2021-09-27,1
2021-09-28,4
2021-09-29,3
2021-09-30,5
2021-10-01,9
2021-10-02,0
2021-10-03,0
2021-10-04,0
2021-10-05,0
2021-10-06,0
2021-10-07,0
2021-10-08,1
2021-10-09,1
2021-10-10,1
2021-10-11,1
2021-10-12,0
2021-10-13,0
2021-10-14,0
2021-10-15,0
2021-10-16,0
2021-10-20,2
2021-10-21,2
2021-10-22,2
2021-10-23,2
2021-10-24,2
2021-10-25,14
2021-10-26,2
2021-10-27,1
2021-10-28,0
2021-10-29,1
2021-10-30,1
2021-11-01,1
