CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,0
2021-09-14,0
2021-09-15,0
2021-09-16,0
2021-09-17,0
2021-09-18,0
2021-09-19,0
2021-09-20,0
2021-09-21,0
2021-09-22,0
2021-09-23,0
2021-09-24,0
2021-09-25,0
2021-09-26,0
2021-09-27,0
2021-09-28,12
2021-09-29,11
2021-09-30,6
2021-10-01,7
2021-10-02,0
2021-10-03,0
2021-10-04,7
2021-10-05,7
2021-10-06,11
2021-10-07,6
2021-10-08,0
2021-10-09,0
2021-10-10,0
2021-10-11,0
2021-10-12,3
2021-10-13,4
2021-10-14,4
2021-10-15,4
2021-10-16,0
2021-10-20,4
2021-10-21,13
2021-10-22,13
2021-10-23,13
2021-10-24,13
2021-10-25,13
2021-10-26,13
2021-10-27,13
2021-10-28,13
2021-10-29,13
2021-10-30,13
2021-11-01,14
