CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,1
2021-09-14,1
2021-09-15,1
2021-09-16,0
2021-09-17,0
2021-09-18,0
2021-09-19,0
2021-09-20,0
2021-09-21,0
2021-09-22,0
2021-09-23,0
2021-09-24,0
2021-09-25,0
2021-09-26,0
2021-09-27,0
2021-09-28,0
2021-09-29,0
2021-09-30,17
2021-10-01,21
2021-10-02,0
2021-10-03,0
2021-10-04,29
2021-10-05,21
2021-10-06,18
2021-10-07,8
2021-10-08,8
2021-10-09,8
2021-10-10,8
2021-10-11,8
2021-10-12,17
2021-10-13,14
2021-10-14,1
2021-10-15,1
2021-10-16,0
2021-10-20,1
2021-10-21,0
2021-10-22,4
2021-10-23,4
2021-10-24,4
2021-10-25,10
2021-10-26,3
2021-10-27,3
2021-10-28,3
2021-10-29,4
2021-10-30,4
2021-11-01,5
